,Failure rate,../input/400MB.dat
dab_dct_0 (DIEHARDER),0.0,0.8543579
rgb_kstest_test_0 (DIEHARDER),0.0,0.01659956
diehard_bitstream_0 (DIEHARDER),0.0,0.99310424
diehard_count_1s_stream_0 (DIEHARDER),0.0,0.51165844
diehard_rank_32x32_0 (DIEHARDER),0.0,0.98736546
diehard_operm5_0 (DIEHARDER),0.0,0.99385278
sts_serial_0 (DIEHARDER),0.0,0.26608574
sts_serial_1 (DIEHARDER),0.0,0.2897759
sts_serial_2 (DIEHARDER),0.0,0.19608125
sts_serial_3 (DIEHARDER),0.0,0.68462609
sts_serial_4 (DIEHARDER),0.0,0.30509366
sts_serial_5 (DIEHARDER),0.0,0.98729825
sts_serial_6 (DIEHARDER),0.0,0.31425717
sts_serial_7 (DIEHARDER),0.0,0.88206762
sts_serial_8 (DIEHARDER),0.0,0.98610761
sts_serial_9 (DIEHARDER),0.0,0.57299149
sts_serial_10 (DIEHARDER),0.0,0.97664944
sts_serial_11 (DIEHARDER),0.0,0.99738449
sts_serial_12 (DIEHARDER),0.0,0.77737488
sts_serial_13 (DIEHARDER),0.0,0.12682234
sts_serial_14 (DIEHARDER),0.0,0.89680166
sts_serial_15 (DIEHARDER),0.0,0.69069133
sts_serial_16 (DIEHARDER),0.0,0.32311601
sts_serial_17 (DIEHARDER),0.0,0.43026649
sts_serial_18 (DIEHARDER),0.0,0.93723631
sts_serial_19 (DIEHARDER),0.0,0.93917809
sts_serial_20 (DIEHARDER),0.0,0.68282316
sts_serial_21 (DIEHARDER),0.0,0.87209925
sts_serial_22 (DIEHARDER),0.0,0.801955
sts_serial_23 (DIEHARDER),0.0,0.85864494
sts_serial_24 (DIEHARDER),0.0,0.48160635
sts_serial_25 (DIEHARDER),0.0,0.01398496
sts_serial_26 (DIEHARDER),0.0,0.69039818
sts_serial_27 (DIEHARDER),0.0,0.64224999
sts_serial_28 (DIEHARDER),0.0,0.08835552
sts_serial_29 (DIEHARDER),0.0,0.84326663
diehard_craps_0 (DIEHARDER),0.0,0.16528406
diehard_craps_1 (DIEHARDER),0.0,0.25450003
dab_monobit2_0 (DIEHARDER),1.0,0.00328771
dab_filltree2_0 (DIEHARDER),0.0,0.97709825
dab_filltree2_1 (DIEHARDER),0.0,0.66705597
rgb_permutations_0 (DIEHARDER),0.0,0.52393977
rgb_permutations_1 (DIEHARDER),0.0,0.63394208
rgb_permutations_2 (DIEHARDER),0.0,0.48258499
rgb_permutations_3 (DIEHARDER),0.0,0.36236063
diehard_rank_6x8_0 (DIEHARDER),0.0,0.7567385
sts_monobit_0 (DIEHARDER),0.0,0.26608574
sts_runs_0 (DIEHARDER),0.0,0.09848269
diehard_squeeze_0 (DIEHARDER),0.0,0.50271234
rgb_bitdist_0 (DIEHARDER),0.0,0.57785487
rgb_bitdist_1 (DIEHARDER),0.0,0.08268485
rgb_bitdist_2 (DIEHARDER),0.0,0.97027852
rgb_bitdist_3 (DIEHARDER),0.0,0.0340835
rgb_bitdist_4 (DIEHARDER),0.0,0.98961938
rgb_bitdist_5 (DIEHARDER),0.0,0.14191088
rgb_bitdist_6 (DIEHARDER),0.0,0.93583029
rgb_bitdist_7 (DIEHARDER),0.0,0.46484926
rgb_bitdist_8 (DIEHARDER),0.0,0.945417
rgb_bitdist_9 (DIEHARDER),0.0,0.82049009
rgb_bitdist_10 (DIEHARDER),0.0,0.98590675
rgb_bitdist_11 (DIEHARDER),0.0,0.78132156
diehard_3dsphere_0 (DIEHARDER),0.0,0.65403027
marsaglia_tsang_gcd_0 (DIEHARDER),0.0,0.97988147
marsaglia_tsang_gcd_1 (DIEHARDER),0.0,0.17167348
diehard_runs_0 (DIEHARDER),0.0,0.03298832
