test_id;N;n;units;total_bytes;bytes_per_unit;bytes_float
1;1;1000000;1000000;4000000;4;4
2;1;1000000;1000000;4000000;4;4
3;1;1000000;1000000;4000000;4;4
4;1;1000000;1000000;4000000;4;4
5;1;1000000;1000000;4000000;4;4
6;1;1000000;1000000;4000000;4;4
7;1;1000000;1000000;4000000;4;4
8;1;1000000;1000000;4000000;4;4
9;1;1000000;1000000;4000000;4;4
10;1;1000000;1000000;4000000;4;4
11;1;1000000;1000000;8000000;8;8
12;1;1000000;1000000;12000000;12;12
13;1;1000000;1000000;16000000;16;16
14;1;1000000;1000000;28000000;28;28
15;1;1000000;1000000;28000000;28;28
16;1;1000000;1000000;32000000;32;32
17;1;1000000;1000000;32000000;32;32
18;1;1000000;1000000;8000000;8;8
19;1;1000000;1000000;12000000;12;12
20;1;1000000;1000000;28000000;28;28
21;1;1000000;1000000;8000000;8;8
22;1;1000000;1000000;16000000;16;16
23;1;1000000;1000000;64000000;64;64
24;1;1000000;1000000;64000000;64;64
25;1;1000000;1000000;256000000;256;256
26;1;1000000;1000000;256000000;256;256
27;1;1000000;1000000;33320008;33;33,320008
28;1;1000000;1000000;33333000;33;33,333
29;1;1000000;1000000;197467548;197;197,467548
30;1;1000000;1000000;197462456;197;197,462456
31;1;1000000;1000000;32002492;32;32,002492
32;1;1000000;1000000;31975368;31;31,975368
33;1;1000000;1000000;1024720044;1024;1024,720044
34;1;1000000;1000000;1024884972;1024;1024,884972
35;1;1000000;1000000;4000000;4;4
36;1;1000000;1000000;4000000;4;4
37;1;1000000;1000000;40000000;40;40
38;1;1000000;1000000;40000000;40;40
39;1;1000000;1000000;52000000;52;52
40;1;1000000;1000000;52000000;52;52
41;1;1000000;1000000;20000000;20;20
42;1;1000000;1000000;40000000;40;40
43;1;1000000;1000000;80000000;80;80
44;1;1000000;1000000;120000000;120;120
45;1;1000000;1000000;40000000;40;40
46;1;1000000;1000000;120000000;120;120
48;1;1000000;1000000;4000000;4;4
51;1;1000000;1000000;1024000000;1024;1024
52;1;1000000;1000000;1024000000;1024;1024
53;1;1000000;1000000;1024000000;1024;1024
54;1;1000000;1000000;1024000000;1024;1024
55;1;1000000;1000000;82657700;82;82,6577
56;1;1000000;1000000;480000000;480;480
57;1;1000000;1000000;1440000000;1440;1440
58;1;1000;1000;12000000;12000;12000
59;1;1000;1000;36000000;36000;36000
60;1;1000;1000;192000000;192000;192000
61;1;1000;1000;576000000;576000;576000
62;1;1000000;1000000;120000000;120;120
63;1;1000000;1000000;8000000;8;8
64;1;1000000;1000000;8000000;8;8
65;1;1000000;1000000;12000000;12;12
66;1;1000000;1000000;36000000;36;36
67;1;1000000;1000000;136000000;136;136
68;1;1000000;1000000;400000000;400;400
69;1;1000000;1000000;1336000000;1336;1336
70;1;1000000;1000000;4000000000;4000;4000
71;1;1000;1000;4000;4;4
72;1;1000;1000;4000;4;4
77;1;1000;1000;4000000000;4000000;4000000
78;1;1000000;1000000;4000000;4;4
79;1;1000000;1000000;4000000;4;4
80;1;1000000;1000000;133336;0;0,133336
81;1;1000000;1000000;400000;0;0,4
82;1;1000000;1000000;4000000;4;4
83;1;1000000;1000000;40000000;40;40
84;1;1000000;1000000;160000000;160;160
85;1;1000000;1000000;8000000;8;8
86;1;1000000;1000000;24000000;24;24
87;1;1000000;1000000;80000000;80;80
88;1;1000000;1000000;240000000;240;240
89;1;1000000;1000000;320000000;320;320
90;1;1000000;1000000;960000000;960;960
91;1;1000000;1000000;532932;0;0,532932
92;1;1000000;1000000;1599644;1;1,599644
93;1;1000000;1000000;133336;0;0,133336
94;1;1000000;1000000;400000;0;0,4
95;1;1000000;1000000;133336;0;0,133336
96;1;1000000;1000000;400004;0;0,400004
