test_id;N;n;units;total_bytes;bytes_per_unit;bytes_float
1;3;1200000;3600000;14400000;4;4
2;3;1200000;3600000;14400000;4;4
3;3;1200000;3600000;14400000;4;4
4;3;1200000;3600000;14400000;4;4
5;3;1200000;3600000;14400000;4;4
6;3;1200000;3600000;14400000;4;4
7;3;1200000;3600000;14400000;4;4
8;3;1200000;3600000;14400000;4;4
9;3;1200000;3600000;14400000;4;4
10;3;1200000;3600000;14400000;4;4
11;3;1200000;3600000;28800000;8;8
12;3;1200000;3600000;43200000;12;12
13;3;1200000;3600000;57600000;16;16
14;3;1200000;3600000;100800000;28;28
15;3;1200000;3600000;100800000;28;28
16;3;1200000;3600000;115200000;32;32
17;3;1200000;3600000;115200000;32;32
18;3;1200000;3600000;28800000;8;8
19;3;1200000;3600000;43200000;12;12
20;3;1200000;3600000;100800000;28;28
21;3;1200000;3600000;28800000;8;8
22;3;1200000;3600000;57600000;16;16
23;3;1200000;3600000;230400000;64;64
24;3;1200000;3600000;230400000;64;64
25;3;1200000;3600000;921600000;256;256
26;3;1200000;3600000;921600000;256;256
27;3;1200000;3600000;119963704;33;33,32325111
28;3;1200000;3600000;120011832;33;33,33662
29;3;1200000;3600000;710800584;197;197,4446067
30;3;1200000;3600000;710812764;197;197,44799
31;3;1200000;3600000;115183848;31;31,99551333
32;3;1200000;3600000;115201524;32;32,00042333
33;3;1200000;3600000;3686257496;1023;1023,960416
34;3;1200000;3600000;3685102324;1023;1023,639534
35;3;1200000;3600000;14400000;4;4
36;3;1200000;3600000;14400000;4;4
37;3;1200000;3600000;144000000;40;40
38;3;1200000;3600000;144000000;40;40
39;3;1200000;3600000;187200000;52;52
40;3;1200000;3600000;187200000;52;52
41;3;1200000;3600000;72000000;20;20
42;3;1200000;3600000;144000000;40;40
43;3;1200000;3600000;288000000;80;80
44;3;1200000;3600000;432000000;120;120
45;3;1200000;3600000;144000000;40;40
46;3;1200000;3600000;432000000;120;120
48;3;1200000;3600000;14400000;4;4
51;3;1200000;3600000;3686400000;1024;1024
52;3;1200000;3600000;3686400000;1024;1024
53;3;1200000;3600000;3686400000;1024;1024
54;3;1200000;3600000;3686400000;1024;1024
55;3;1200000;3600000;297584852;82;82,66245889
56;3;1200000;3600000;1728000000;480;480
57;3;1200000;3600000;5184000000;1440;1440
58;3;7000;21000;252000000;12000;12000
59;3;7000;21000;756000000;36000;36000
60;3;7000;21000;4032000000;192000;192000
61;3;7000;21000;12096000000;576000;576000
62;3;1200000;3600000;432000000;120;120
63;3;1200000;3600000;28800000;8;8
64;3;1200000;3600000;28800056;8;8,000015556
65;3;1200000;3600000;43200000;12;12
66;3;1200000;3600000;129600000;36;36
67;3;1200000;3600000;489600000;136;136
68;3;1200000;3600000;1440000000;400;400
69;3;1200000;3600000;4809600000;1336;1336
70;3;1200000;3600000;14400000000;4000;4000
71;3;7000;21000;84000;4;4
72;3;7000;21000;84000;4;4
77;3;500;1500;6000000000;4000000;4000000
78;3;1200000;3600000;14400000;4;4
79;3;1200000;3600000;14400000;4;4
80;3;1200000;3600000;400008;0;0,111113333
81;3;1200000;3600000;1200000;0;0,333333333
82;3;1200000;3600000;14400000;4;4
83;3;1200000;3600000;144000000;40;40
84;3;1200000;3600000;576000000;160;160
85;3;1200000;3600000;28800000;8;8
86;3;1200000;3600000;86400000;24;24
87;3;1200000;3600000;288000000;80;80
88;3;1200000;3600000;864000000;240;240
89;3;1200000;3600000;1152000000;320;320
90;3;1200000;3600000;3456000000;960;960
91;3;1200000;3600000;1920168;0;0,53338
92;3;1200000;3600000;5759732;1;1,599925556
93;3;1200000;3600000;480000;0;0,133333333
94;3;1200000;3600000;1440000;0;0,4
95;3;1200000;3600000;480012;0;0,133336667
96;3;1200000;3600000;1440012;0;0,400003333
